,Name,Age,Overall,Potential,Special,Nationality,Club
0,L. Messi,28,94,94,2136,Argentina,FC Barcelona
1,Cristiano Ronaldo,30,93,93,2214,Portugal,Real Madrid
2,Neymar,23,90,94,2058,Brazil,FC Barcelona
3,L. Suárez,28,90,90,2280,Uruguay,FC Barcelona
4,M. Neuer,29,90,90,1410,Germany,FC Bayern München
5,Z. Ibrahimović,33,89,89,2116,Sweden,Paris Saint-Germain
6,A. Robben,31,89,89,2108,Netherlands,FC Bayern München
7,R. Lewandowski,26,88,88,2096,Poland,FC Bayern München
8,E. Hazard,24,88,90,2084,Belgium,Chelsea
9,M. Özil,26,88,89,1940,Germany,Arsenal
10,Thiago Silva,30,88,88,2144,Brazil,Paris Saint-Germain
11,S. Agüero,27,88,88,2069,Argentina,Manchester City
12,Iniesta,31,88,88,2104,Spain,FC Barcelona
13,J. Rodríguez,23,87,91,2155,Colombia,Real Madrid
14,De Gea,24,87,90,1364,Spain,Manchester United
15,J. Boateng,26,87,87,1999,Germany,FC Bayern München
16,T. Kroos,25,87,89,2128,Germany,Real Madrid
17,L. Modrić,29,87,87,2231,Croatia,Real Madrid
18,G. Bale,25,87,88,2259,Wales,Real Madrid
19,Sergio Ramos,29,87,87,2147,Spain,Real Madrid
20,P. Lahm,31,87,87,2159,Germany,FC Bayern München
21,P. Pogba,22,86,91,2263,France,Juventus
22,K. De Bruyne,24,86,89,2122,Belgium,Manchester City
23,T. Courtois,23,86,90,1277,Belgium,Chelsea
24,T. Müller,25,86,87,2125,Germany,FC Bayern München
25,Sergio Busquets,26,86,86,2030,Spain,FC Barcelona
26,M. Reus,26,86,87,2156,Germany,Borussia Dortmund
27,A. Sánchez,26,86,87,2140,Chile,Arsenal
28,A. Di María,27,86,86,2154,Argentina,Paris Saint-Germain
29,D. Godín,29,86,86,1927,Uruguay,Atlético Madrid
30,M. Hummels,26,86,87,2038,Germany,Borussia Dortmund
31,David Silva,29,86,86,1990,Spain,Manchester City
32,G. Higuaín,27,86,86,1916,Argentina,Napoli
33,K. Benzema,27,86,86,1959,France,Real Madrid
34,Cesc Fàbregas,28,86,86,2139,Spain,Chelsea
35,F. Ribéry,32,86,86,1996,France,FC Bayern München
36,G. Chiellini,30,86,86,1819,Italy,Juventus
37,P. Čech,33,86,86,1190,Czech Republic,Arsenal
38,D. Alaba,23,85,88,2289,Austria,FC Bayern München
39,H. Mkhitaryan,26,85,86,2174,Armenia,Borussia Dortmund
40,A. Vidal,28,85,85,2272,Chile,FC Bayern München
41,Diego Costa,26,85,86,1973,Spain,Chelsea
42,E. Cavani,28,85,85,2087,Uruguay,Paris Saint-Germain
43,I. Rakitić,27,85,85,2130,Croatia,FC Barcelona
44,Miranda,30,85,85,1892,Brazil,Inter
45,H. Lloris,28,85,85,1267,France,Tottenham Hotspur
46,Piqué,28,85,85,1964,Spain,FC Barcelona
47,Santi Cazorla,30,85,85,2140,Spain,Arsenal
48,C. Tévez,31,85,85,2179,Argentina,Boca Juniors
49,V. Kompany,29,85,85,1921,Belgium,Manchester City
50,A. Barzagli,34,85,85,1784,Italy,Juventus
51,B. Schweinsteiger,30,85,85,2234,Germany,Manchester United
52,W. Rooney,29,85,85,2198,England,Manchester United
53,Y. Touré,32,85,85,2217,Ivory Coast,Manchester City
54,M. Verratti,22,84,89,2147,Italy,Paris Saint-Germain
55,Isco,23,84,88,2018,Spain,Real Madrid
56,A. Griezmann,24,84,88,2058,France,Atlético Madrid
57,N. Otamendi,27,84,84,1915,Argentina,Manchester City
58,M. Götze,23,84,88,1971,Germany,FC Bayern München
59,J. Pastore,26,84,85,2102,Argentina,Paris Saint-Germain
62,Jordi Alba,26,84,85,2201,Spain,FC Barcelona
63,Coutinho,23,84,88,1967,Brazil,Liverpool
64,P. Aubameyang,26,84,85,2067,Gabon,Borussia Dortmund
65,I. Gündoğan,24,84,87,2159,Germany,Borussia Dortmund
66,M. Pjanić,25,84,86,2140,Bosnia Herzegovina,Roma
