,Name,Age,Overall,Potential,Special,Nationality,Club
0,L. Messi,31,94,94,2217,Argentina,FC Barcelona
1,Cristiano Ronaldo,33,94,94,2228,Portugal,Juventus
2,Neymar Jr,26,92,92,2150,Brazil,Paris Saint-Germain
3,J. Oblak,25,91,93,1330,Slovenia,Atlético Madrid
4,K. De Bruyne,27,91,92,2279,Belgium,Manchester City
5,E. Hazard,27,91,91,2143,Belgium,Chelsea
6,L. Modrić,32,91,91,2284,Croatia,Real Madrid
7,L. Suárez,31,91,91,2349,Uruguay,FC Barcelona
8,H. Kane,24,90,92,2177,England,Tottenham Hotspur
9,De Gea,27,90,92,1451,Spain,Manchester United
10,R. Lewandowski,29,90,90,2151,Poland,FC Bayern München
11,D. Godín,32,90,90,1936,Uruguay,Atlético Madrid
12,David Silva,32,90,90,2104,Spain,Manchester City
13,Sergio Ramos,32,90,90,2238,Spain,Real Madrid
14,G. Chiellini,33,90,90,1854,Italy,Juventus
15,N. Kanté,27,89,90,2187,France,Chelsea
16,P. Dybala,24,89,94,2092,Argentina,Juventus
17,M. Salah,26,89,90,2175,Egypt,Liverpool
18,V. van Dijk,26,89,91,2079,Netherlands,Liverpool
19,A. Griezmann,27,89,89,2293,France,Atlético Madrid
20,M. ter Stegen,26,89,92,1346,Germany,FC Barcelona
21,Sergio Busquets,29,89,89,2065,Spain,FC Barcelona
22,T. Kroos,28,89,89,2161,Germany,Real Madrid
23,E. Cavani,31,89,89,2161,Uruguay,Paris Saint-Germain
24,S. Agüero,30,89,89,2105,Argentina,Manchester City
25,K. Mbappé,19,88,95,2123,France,Paris Saint-Germain
26,K. Koulibaly,27,88,90,1692,Senegal,Napoli
27,P. Pogba,25,88,91,2251,France,Manchester United
28,T. Courtois,26,88,89,1306,Belgium,Real Madrid
29,C. Eriksen,26,88,89,2123,Denmark,Tottenham Hotspur
30,P. Aubameyang,29,88,88,2069,Gabon,Arsenal
31,M. Reus,29,88,88,2187,Germany,Borussia Dortmund
32,M. Hummels,29,88,88,2017,Germany,FC Bayern München
33,H. Lloris,31,88,88,1335,France,Tottenham Hotspur
34,M. Neuer,32,88,88,1465,Germany,FC Bayern München
35,Thiago Silva,33,88,88,2072,Brazil,Paris Saint-Germain
36,S. Handanovič,33,88,88,1262,Slovenia,Inter
37,Piqué,31,88,88,1992,Spain,FC Barcelona
38,Alisson,25,87,91,1330,Brazil,Liverpool
39,S. Mané,26,87,87,2144,Senegal,Liverpool
40,S. Umtiti,24,87,92,2147,France,FC Barcelona
41,R. Sterling,23,87,89,2054,England,Manchester City
42,M. Icardi,25,87,89,1937,Argentina,Inter
43,Casemiro,26,87,89,2191,Brazil,Real Madrid
44,H. Son,25,87,88,2122,Korea Republic,Tottenham Hotspur
45,J. Rodríguez,26,87,88,2166,Colombia,FC Bayern München
46,L. Insigne,27,87,87,2034,Italy,Napoli
47,Isco,26,87,88,2127,Spain,Real Madrid
48,K. Navas,31,87,87,1345,Costa Rica,Real Madrid
49,C. Immobile,28,87,87,2009,Italy,Lazio
50,Thiago,27,87,87,2202,Spain,FC Bayern München
51,Jordi Alba,29,87,87,2240,Spain,FC Barcelona
52,Coutinho,26,87,88,2169,Brazil,FC Barcelona
53,T. Alderweireld,29,87,87,2056,Belgium,Tottenham Hotspur
54,D. Mertens,31,87,87,2043,Belgium,Napoli
55,G. Bale,28,87,87,2268,Wales,Real Madrid
56,J. Vertonghen,31,87,87,2089,Belgium,Tottenham Hotspur
57,I. Rakitić,30,87,87,2202,Croatia,FC Barcelona
58,G. Higuaín,30,87,87,1952,Argentina,Chelsea
59,Fernandinho,33,87,87,2206,Brazil,Manchester City
60,M. Škriniar,23,86,93,1816,Slovakia,Inter
61,M. Škriniar,23,86,93,1816,Slovakia,Inter
62,L. Sané,22,86,92,2106,Germany,Manchester City
63,Bernardo Silva,23,86,91,2089,Portugal,Manchester City
64,J. Kimmich,23,86,88,2212,Germany,FC Bayern München
65,A. Laporte,24,86,89,1954,France,Manchester City
66,Ederson,24,86,90,1485,Brazil,Manchester City
67,Roberto Firmino,26,86,87,2187,Brazil,Liverpool
68,R. Varane,25,86,91,1895,France,Real Madrid
69,M. Verratti,25,86,89,2152,Italy,Paris Saint-Germain
70,R. Lukaku,25,86,88,2002,Belgium,Manchester United
71,Alex Sandro,27,86,86,2198,Brazil,Juventus
72,T. Müller,28,86,86,2096,Germany,FC Bayern München
73,W. Szczęsny,28,86,88,1277,Poland,Juventus
74,L. Bonucci,31,86,86,1978,Italy,Juventus
75,M. Pjanić,28,86,86,2195,Bosnia Herzegovina,Juventus
76,Marcelo,30,86,86,2272,Brazil,Real Madrid
77,M. Hamšík,30,86,86,2179,Slovakia,Dalian YiFang FC
78,K. Benzema,30,86,86,2049,France,Real Madrid
79,G. Buffon,40,86,86,1316,Italy,Paris Saint-Germain
80,M. de Ligt,18,85,93,1974,Netherlands,Ajax
81,S. Milinković-Savić,23,85,90,2206,Serbia,Lazio
82,D. Alli,22,85,90,2198,England,Tottenham Hotspur
83,Fabinho,24,85,89,2175,Brazil,Liverpool
84,Saúl,23,85,90,2197,Spain,Atlético Madrid
85,Marquinhos,24,85,90,1934,Brazil,Paris Saint-Germain
86,Carvajal,26,85,86,2091,Spain,Real Madrid
87,R. Mahrez,27,85,85,2018,Algeria,Manchester City
88,A. Lopes,27,85,87,1360,Portugal,Olympique Lyonnais
89,Koke,26,85,85,2198,Spain,Atlético Madrid
90,A. Lacazette,27,85,86,2063,France,Arsenal
91,K. Manolas,27,85,86,1643,Greece,Roma
92,Douglas Costa,27,85,85,2105,Brazil,Juventus
93,Parejo,29,85,85,2130,Spain,Valencia CF
94,R. Bürki,27,85,86,1262,Switzerland,Borussia Dortmund
95,Paulinho,29,85,85,2256,Brazil,Guangzhou Evergrande Taobao FC
96,Azpilicueta,28,85,85,2105,Spain,Chelsea
97,Y. Brahimi,28,85,85,2033,Algeria,FC Porto
98,A. Di María,30,85,85,2142,Argentina,Paris Saint-Germain
99,A. Vidal,31,85,85,2255,Chile,FC Barcelona
100,M. Mandžukić,32,85,85,2121,Croatia,Juventus
101,I. Perišić,29,85,85,2199,Croatia,Inter
102,E. Džeko,32,85,85,1939,Bosnia Herzegovina,Roma
103,R. Nainggolan,30,85,85,2278,Belgium,Inter
104,A. Witsel,29,85,85,2221,Belgium,Borussia Dortmund
105,M. Özil,29,85,85,1899,Germany,Arsenal
106,B. Matuidi,31,85,85,2198,France,Juventus
107,Filipe Luís,32,85,85,2141,Brazil,Atlético Madrid
108,Pepe,35,85,85,1831,Portugal,FC Porto
109,Z. Ibrahimović,36,85,85,2005,Sweden,LA Galaxy
110,Iniesta,34,85,85,2052,Spain,Vissel Kobe
111,O. Dembélé,21,84,92,2023,France,FC Barcelona
112,F. de Jong,21,84,90,2145,Netherlands,Ajax
113,Marco Asensio,22,84,89,2051,Spain,Real Madrid
114,C. Lenglet,23,84,90,1925,France,FC Barcelona
115,N. Fekir,24,84,88,2088,France,Olympique Lyonnais
116,J. Giménez,23,84,88,1756,Uruguay,Atlético Madrid
117,Alex Telles,25,84,86,2267,Brazil,FC Porto
118,Bruno Fernandes,23,84,89,2264,Portugal,Sporting CP
119,N. Süle,22,84,90,1649,Germany,FC Bayern München
120,T. Werner,22,84,87,1984,Germany,RB Leipzig
121,A. Martial,22,84,90,2058,France,Manchester United
122,A. Martial,22,84,90,2058,France,Manchester United
123,L. Goretzka,23,84,88,2222,Germany,FC Bayern München
124,H. Ziyech,25,84,86,2105,Morocco,Ajax
125,Kepa,23,84,90,1229,Spain,Chelsea
126,S. Gnabry,22,84,87,2046,Germany,FC Bayern München
127,E. Višća,28,84,84,2083,Bosnia Herzegovina,Medipol Başakşehir FK
128,F. Thauvin,25,84,85,2096,France,Olympique de Marseille
129,M. Depay,24,84,88,2082,Netherlands,Olympique Lyonnais
130,Felipe Anderson,25,84,85,2063,Brazil,West Ham United
131,Allan,27,84,84,2179,Brazil,Napoli
132,F. Acerbi,30,84,84,1863,Italy,Lazio
133,D. Tadić,29,84,84,2075,Serbia,Ajax
134,S. de Vrij,26,84,85,1819,Netherlands,Inter
135,M. Perin,25,84,89,1254,Italy,Juventus
136,Pizzi,28,84,84,2156,Portugal,SL Benfica
137,D. Alaba,26,84,86,2251,Austria,FC Bayern München
138,Neto,28,84,85,1313,Brazil,Valencia CF
139,J. Cuadrado,30,84,84,2163,Colombia,Juventus
140,Iago Aspas,30,84,84,2057,Spain,RC Celta
141,N. Otamendi,30,84,84,1912,Argentina,Manchester City
142,L. Hrádecký,28,84,84,1133,Finland,Bayer 04 Leverkusen
143,Illarramendi,28,84,84,2111,Spain,Real Sociedad
144,K. Walker,28,84,84,2187,England,Manchester City
145,I. Gündoğan,27,84,84,2148,Germany,Manchester City
146,José Callejón,31,84,84,2045,Spain,Napoli
147,J. Boateng,29,84,84,1942,Germany,FC Bayern München
148,Willian,29,84,84,2054,Brazil,Chelsea
149,S. Khedira,31,84,84,2148,Germany,Juventus
150,Diego Costa,29,84,84,1994,Spain,Atlético Madrid
151,E. Banega,30,84,84,2146,Argentina,Sevilla FC
152,Y. Sommer,29,84,85,1304,Switzerland,Borussia Mönchengladbach
153,Lucas Leiva,31,84,84,2108,Brazil,Lazio
154,Sokratis,30,84,84,1816,Greece,Arsenal
155,Miranda,33,84,84,1871,Brazil,Inter
156,S. Ruffier,31,84,84,1254,France,AS Saint-Étienne
157,Falcao,32,84,84,2020,Colombia,AS Monaco
158,Raúl Albiol,32,84,84,1760,Spain,Napoli
159,A. Gómez,30,84,84,2035,Argentina,Atalanta
160,V. Kompany,32,84,84,1879,Belgium,Manchester City
161,J. Pavlenka,26,83,85,1066,Czech Republic,SV Werder Bremen
162,K. Havertz,19,83,90,1982,Germany,Bayer 04 Leverkusen
163,Rodri,22,83,88,2073,Spain,Atlético Madrid
164,M. Rashford,20,83,90,2109,England,Manchester United
165,Gabriel Jesus,21,83,90,2050,Brazil,Manchester City
166,Arthur,21,83,90,2153,Brazil,FC Barcelona
167,G. Donnarumma,19,83,94,1282,Italy,Milan
168,Ronaldo Cabrais,26,83,83,2095,Brazil,Grêmio
169,Josué Chiamulera,26,83,83,1894,Brazil,Grêmio
170,Louri Beretta,26,83,83,1921,Brazil,Atlético Mineiro
171,Gonçalo Guedes,21,83,89,2024,Portugal,Valencia CF
172,N. Keïta,23,83,88,2088,Guinea,Liverpool
173,L. Hernández,22,83,89,2018,France,Atlético Madrid
174,D. Sánchez,22,83,87,1805,Colombia,Tottenham Hotspur
175,C. Tolisso,23,83,88,2207,France,FC Bayern München
176,A. Kramarić,27,83,84,2034,Croatia,TSG 1899 Hoffenheim
177,A. Robertson,24,83,88,2058,Scotland,Liverpool
178,T. Lemar,22,83,89,2172,France,Atlético Madrid
179,K. Coman,22,83,88,1921,France,FC Bayern München
180,Anderson Talisca,24,83,87,2142,Brazil,Guangzhou Evergrande Taobao FC
181,J. Brandt,22,83,88,1952,Germany,Bayer 04 Leverkusen
182,João Cancelo,24,83,89,2180,Portugal,Juventus
183,João Cancelo,24,83,89,2180,Portugal,Juventus
184,A. Romagnoli,23,83,90,1765,Italy,Milan
185,A. Rabiot,23,83,87,2182,France,Paris Saint-Germain
186,Q. Promes,26,83,83,2076,Netherlands,Sevilla FC
187,Lucas Vázquez,27,83,83,2128,Spain,Real Madrid
188,Y. Carrasco,24,83,86,2015,Belgium,Dalian YiFang FC
189,Felipe,29,83,83,1786,Brazil,FC Porto
190,Jorginho,26,83,84,2100,Italy,Chelsea
191,J. Pickford,24,83,88,1444,England,Everton
192,S. Savić,27,83,85,1692,Montenegro,Atlético Madrid
193,J. Stones,24,83,87,1858,England,Manchester City
194,Suso,24,83,85,1959,Spain,Milan
195,J. Draxler,24,83,86,2112,Germany,Paris Saint-Germain
196,Lucas Moura,25,83,84,2101,Brazil,Tottenham Hotspur
197,Danilo Pereira,26,83,85,2020,Portugal,FC Porto
198,Nacho Fernández,28,83,84,1855,Spain,Real Madrid
199,J. Iličić,30,83,83,2016,Slovenia,Atalanta
200,T. Horn,25,83,86,1260,Germany,1. FC Köln
201,Sergi Roberto,26,83,84,2112,Spain,FC Barcelona
202,Pablo Sarabia,26,83,84,2050,Spain,Sevilla FC
203,Rodrigo,27,83,83,2062,Spain,Valencia CF
204,Bartra,27,83,84,2059,Spain,Real Betis
205,K. Kampl,27,83,83,2076,Slovenia,RB Leipzig
206,O. Baumann,28,83,84,1220,Germany,TSG 1899 Hoffenheim
207,I. Gueye,28,83,83,2064,Senegal,Everton
208,K. Casteels,26,83,85,1256,Belgium,VfL Wolfsburg
209,Marcos Alonso,27,83,83,2194,Spain,Chelsea
210,B. Leno,26,83,86,1299,Germany,Arsenal
211,N. Matić,29,83,83,2069,Serbia,Manchester United
212,Canales,27,83,83,2042,Spain,Real Betis
213,Oscar,26,83,84,2027,Brazil,Shanghai SIPG FC
214,P. Gulácsi,28,83,84,1244,Hungary,RB Leipzig
215,A. Kolarov,32,83,83,2266,Serbia,Roma
216,A. Sánchez,29,83,83,2144,Chile,Manchester United
217,M. Kruse,30,83,83,2067,Germany,SV Werder Bremen
218,G. Wijnaldum,27,83,83,2198,Netherlands,Liverpool
219,David Luiz,31,83,83,2086,Brazil,Chelsea
220,Sergio Asenjo,29,83,84,1329,Spain,Villarreal CF
221,Rui Patrício,30,83,83,1350,Portugal,Wolverhampton Wanderers
222,Javi Martínez,29,83,83,1944,Spain,FC Bayern München
223,Naldo,35,83,83,1926,Brazil,AS Monaco
224,S. Sirigu,31,83,83,1219,Italy,Torino
225,K. Schmeichel,31,83,83,1344,Denmark,Leicester City
226,João Moutinho,31,83,83,2180,Portugal,Wolverhampton Wanderers
227,F. Quagliarella,35,83,83,1959,Italy,Sampdoria
228,F. Ribéry,35,83,83,1928,France,FC Bayern München
229,A. Barzagli,37,83,83,1727,Italy,Juventus
230,R. Jarstein,33,83,83,1191,Norway,Hertha BSC
231,D. De Rossi,34,83,83,2100,Italy,Roma
232,Quaresma,34,83,83,1972,Portugal,Beşiktaş JK
233,A. Robben,34,83,83,2030,Netherlands,FC Bayern München
234,Casillas,37,83,83,1306,Spain,FC Porto
235,L. Jović,20,82,88,1917,Serbia,Eintracht Frankfurt
236,Rosberto Dourado,30,82,82,2061,Brazil,Atlético Mineiro
237,Juiano Mestres,34,82,82,2003,Brazil,Cruzeiro
238,Raphaelito Anjos,30,82,82,1191,Brazil,Grêmio
239,M. Akanji,22,82,88,1889,Switzerland,Borussia Dortmund
240,Gelson Martins,23,82,87,2017,Portugal,AS Monaco
241,A. Onana,22,82,87,1378,Cameroon,Ajax
242,Fabián,22,82,90,2107,Spain,Napoli
243,G. Lo Celso,22,82,88,2147,Argentina,Real Betis
244,G. Lo Celso,22,82,88,2147,Argentina,Real Betis
245,P. Kimpembe,22,82,88,1895,France,Paris Saint-Germain
246,L. Torreira,22,82,87,2122,Uruguay,Arsenal
247,Malcom,21,82,89,1978,Brazil,FC Barcelona
248,H. Lozano,22,82,87,2018,Mexico,PSV
249,Pau López,23,82,87,1325,Spain,Real Betis
250,Rafa,25,82,84,1970,Portugal,SL Benfica
251,M. Politano,24,82,85,2002,Italy,Inter
252,D. Zapata,27,82,82,1815,Colombia,Atalanta
253,J. Tah,22,82,87,1671,Germany,Bayer 04 Leverkusen
254,F. Bernardeschi,24,82,85,2105,Italy,Juventus
255,T. Strakosha,23,82,87,1176,Albania,Lazio
256,K. Demirbay,24,82,85,2094,Germany,TSG 1899 Hoffenheim
257,D. Rugani,23,82,86,1713,Italy,Juventus
258,N. Tagliafico,25,82,84,2073,Argentina,Ajax
259,P. Zieliński,24,82,88,2100,Poland,Napoli
260,Grimaldo,22,82,86,2165,Spain,SL Benfica
261,T. Partey,25,82,88,2100,Ghana,Atlético Madrid
262,R. Guerreiro,24,82,85,2140,Portugal,Borussia Dortmund
263,J. Vardy,31,82,82,2087,England,Leicester City
264,A. Belotti,24,82,87,1962,Italy,Torino
265,E. Forsberg,26,82,83,1937,Sweden,RB Leipzig
266,J. Martínez,25,82,85,1928,Venezuela,Atlanta United
267,William Carvalho,26,82,85,1999,Portugal,Real Betis
268,J. Lingard,25,82,83,2118,England,Manchester United
269,M. Kovačić,24,82,86,2102,Croatia,Chelsea
270,S. Haller,24,82,85,1918,France,Eintracht Frankfurt
271,A. Rüdiger,25,82,84,1863,Germany,Chelsea
272,A. Milik,24,82,86,1955,Poland,Napoli
273,A. Florenzi,27,82,82,2254,Italy,Roma
274,T. Hazard,25,82,83,2034,Belgium,Borussia Mönchengladbach
275,H. Maguire,25,82,85,1863,England,Leicester City
276,K. Bellarabi,28,82,82,1983,Germany,Bayer 04 Leverkusen
277,T. Meunier,26,82,83,2162,Belgium,Paris Saint-Germain
278,Rafinha,25,82,85,2091,Brazil,FC Barcelona
279,Gabriel Paulista,27,82,83,1974,Brazil,Valencia CF
280,Morata,25,82,84,1886,Spain,Atlético Madrid
281,B. Lecomte,27,82,85,1117,France,Montpellier HSC
282,K. Volland,25,82,84,2103,Germany,Bayer 04 Leverkusen
283,Paco Alcácer,24,82,85,1981,Spain,Borussia Dortmund
284,J. Cillessen,29,82,83,1299,Netherlands,FC Barcelona
285,W. Ben Yedder,27,82,82,2042,France,Sevilla FC
286,C. Aránguiz,29,82,82,2152,Chile,Bayer 04 Leverkusen
287,C. Bakambu,27,82,82,2010,DR Congo,Beijing Sinobo Guoan FC
288,W. Zaha,25,82,85,1930,Ivory Coast,Crystal Palace
289,Luis Alberto,25,82,84,1996,Spain,Lazio
290,Jonathan Viera,28,82,82,2152,Spain,Beijing Sinobo Guoan FC
291,S. Coates,27,82,83,1711,Uruguay,Sporting CP
292,Willian José,26,82,83,1953,Brazil,Real Sociedad
293,Mário Fernandes,27,82,82,2100,Russia,PFC CSKA Moscow
294,X. Shaqiri,26,82,82,2090,Switzerland,Liverpool
295,T. Delaney,26,82,83,2218,Denmark,Borussia Dortmund
296,J. Corona,25,82,83,2089,Mexico,FC Porto
297,H. Mkhitaryan,29,82,82,2087,Armenia,Arsenal
298,D. Subašić,33,82,82,1260,Croatia,AS Monaco
299,M. Götze,26,82,85,2130,Germany,Borussia Dortmund
