,Name,Age,Overall,Potential,Special,Nationality,Club
0,L. Messi,27,93,93,2163,Argentina,FC Barcelona
1,Cristiano Ronaldo,29,92,92,2215,Portugal,Real Madrid
2,M. Neuer,28,90,90,1532,Germany,FC Bayern München
3,A. Robben,30,90,90,2128,Netherlands,FC Bayern München
4,L. Suárez,27,89,89,2266,Uruguay,FC Barcelona
5,Z. Ibrahimović,32,89,89,2134,Sweden,Paris Saint-Germain
6,Iniesta,30,89,89,2137,Spain,FC Barcelona
7,E. Hazard,23,88,90,2084,Belgium,Chelsea
8,F. Ribéry,31,88,88,2042,France,FC Bayern München
9,B. Schweinsteiger,29,88,88,2304,Germany,FC Bayern München
10,R. Lewandowski,25,87,89,2095,Poland,FC Bayern München
11,J. Boateng,25,87,89,1986,Germany,FC Bayern München
12,L. Modrić,28,87,87,2244,Croatia,Real Madrid
13,G. Bale,24,87,91,2261,Wales,Real Madrid
14,David Silva,28,87,87,1985,Spain,Manchester City
15,Thiago Silva,29,87,87,2147,Brazil,Paris Saint-Germain
16,Sergio Ramos,28,87,87,2118,Spain,Real Madrid
17,S. Agüero,26,87,89,2076,Argentina,Manchester City
18,P. Lahm,30,87,87,2188,Germany,FC Bayern München
19,J. Rodríguez,22,86,92,2116,Colombia,Real Madrid
20,De Gea,23,86,89,1412,Spain,Manchester United
21,T. Courtois,22,86,90,1397,Belgium,Chelsea
22,Neymar,22,86,91,2035,Brazil,FC Barcelona
23,T. Müller,24,86,88,2151,Germany,FC Bayern München
24,M. Reus,25,86,88,2143,Germany,Borussia Dortmund
25,M. Hummels,25,86,88,2047,Germany,Borussia Dortmund
26,M. Özil,25,86,87,1952,Germany,Arsenal
27,Falcao,28,86,86,2035,Colombia,Manchester United
28,V. Kompany,28,86,86,1959,Belgium,Manchester City
29,W. Rooney,28,86,86,2195,England,Manchester United
30,Xavi,34,86,86,2104,Spain,FC Barcelona
31,K. De Bruyne,23,85,88,2115,Belgium,VfL Wolfsburg
32,M. Götze,22,85,90,2011,Germany,FC Bayern München
33,Sergio Busquets,25,85,88,2026,Spain,FC Barcelona
34,A. Sánchez,25,85,87,2119,Chile,Arsenal
35,A. Di María,26,85,85,2166,Argentina,Manchester United
36,T. Kroos,24,85,88,2153,Germany,Real Madrid
37,A. Vidal,27,85,87,2265,Chile,Juventus
38,Diego Costa,25,85,86,1997,Spain,Chelsea
39,E. Cavani,27,85,85,2080,Uruguay,Paris Saint-Germain
40,Juan Mata,26,85,85,2002,Spain,Manchester United
41,H. Lloris,27,85,85,1422,France,Tottenham Hotspur
42,K. Benzema,26,85,87,2006,France,Real Madrid
43,Cesc Fàbregas,27,85,85,2161,Spain,Chelsea
44,Santi Cazorla,29,85,85,2117,Spain,Arsenal
45,C. Tévez,30,85,85,2167,Argentina,Boca Juniors
46,P. Čech,32,85,85,1361,Czech Republic,Chelsea
47,Xabi Alonso,32,85,85,2133,Spain,FC Bayern München
48,Y. Touré,31,85,85,2246,Ivory Coast,Manchester City
49,R. van Persie,30,85,85,2020,Netherlands,Manchester United
50,P. Pogba,21,84,91,2239,France,Juventus
51,Oscar,22,84,88,1987,Brazil,Chelsea
52,D. Godín,28,84,84,1907,Uruguay,Atlético Madrid
53,S. Khedira,27,84,86,2064,Germany,Real Madrid
54,Javi Martinez,25,84,85,2006,Spain,FC Bayern München
55,M. Benatia,27,84,86,1782,Morocco,FC Bayern München
56,G. Higuaín,26,84,86,1921,Argentina,Napoli
57,S. Nasri,27,84,84,2021,France,Manchester City
58,Piqué,27,84,87,1912,Spain,FC Barcelona
59,A. Turan,27,84,87,2194,Turkey,Atlético Madrid
60,W. Sneijder,30,84,84,2099,Netherlands,Galatasaray SK
61,W. Sneijder,30,84,84,2099,Netherlands,Galatasaray SK
62,G. Chiellini,29,84,84,1812,Italy,Juventus
63,Casillas,33,84,84,1398,Spain,Real Madrid
64,M. Verratti,21,83,90,2154,Italy,Paris Saint-Germain
