,Name,Age,Overall,Potential,Special,Nationality,Club
0,L. Messi,26,94,97,2171,Argentina,FC Barcelona
1,Cristiano Ronaldo,28,92,92,2220,Portugal,Real Madrid
2,Z. Ibrahimović,31,90,90,2139,Sweden,Paris Saint-Germain
3,L. Suárez,26,89,89,2289,Uruguay,Liverpool
4,Falcao,27,89,89,2073,Colombia,AS Monaco
5,F. Ribéry,30,89,89,2051,France,FC Bayern München
6,R. van Persie,29,89,89,2054,Netherlands,Manchester United
7,Iniesta,29,89,89,2129,Spain,FC Barcelona
8,E. Hazard,22,88,90,2077,Belgium,Chelsea
9,Thiago Silva,28,88,88,2155,Brazil,Paris Saint-Germain
10,S. Agüero,25,88,90,2081,Argentina,Manchester City
11,B. Schweinsteiger,28,88,88,2298,Germany,FC Bayern München
12,Xavi,33,88,88,2129,Spain,FC Barcelona
13,A. Robben,29,88,88,2078,Netherlands,FC Bayern München
14,E. Cavani,26,87,89,2121,Uruguay,Paris Saint-Germain
15,Juan Mata,25,87,88,2032,Spain,Manchester United
16,M. Özil,24,87,89,1965,Germany,Arsenal
17,G. Bale,23,87,91,2297,Wales,Real Madrid
18,David Silva,27,87,88,2055,Spain,Manchester City
19,M. Neuer,27,87,89,1447,Germany,FC Bayern München
20,P. Lahm,29,87,87,2187,Germany,FC Bayern München
21,W. Rooney,27,87,87,2206,England,Manchester United
22,R. Lewandowski,24,86,89,2085,Poland,Borussia Dortmund
23,A. Di María,25,86,88,2173,Argentina,Real Madrid
24,A. Vidal,26,86,88,2283,Chile,Juventus
25,L. Modrić,27,86,88,2216,Croatia,Real Madrid
26,Cesc Fàbregas,26,86,90,2166,Spain,FC Barcelona
27,Sergio Ramos,27,86,89,2122,Spain,Real Madrid
28,Piqué,26,86,91,1946,Spain,FC Barcelona
29,C. Tévez,29,86,86,2195,Argentina,Juventus
30,V. Kompany,27,86,87,1989,Belgium,Manchester City
31,Y. Touré,30,86,86,2300,Ivory Coast,Manchester City
32,Casillas,32,86,86,1409,Spain,Real Madrid
33,M. Götze,21,85,92,2008,Germany,FC Bayern München
34,Neymar,21,85,91,2037,Brazil,FC Barcelona
35,T. Müller,23,85,88,2102,Germany,FC Bayern München
36,Sergio Busquets,24,85,89,2036,Spain,FC Barcelona
37,M. Reus,24,85,88,2118,Germany,Borussia Dortmund
38,M. Hummels,24,85,88,2030,Germany,Borussia Dortmund
39,M. Benatia,26,85,87,1832,Morocco,Roma
40,K. Benzema,25,85,87,2003,France,Real Madrid
41,A. Turan,26,85,88,2179,Turkey,Atlético Madrid
42,N. Vidić,31,85,85,1748,Serbia,Manchester United
43,W. Sneijder,29,85,85,2108,Netherlands,Galatasaray SK
44,D. De Rossi,29,85,85,2221,Italy,Roma
45,P. Čech,31,85,85,1361,Czech Republic,Chelsea
46,Xabi Alonso,31,85,85,2128,Spain,Real Madrid
47,Isco,21,84,88,1995,Spain,Real Madrid
48,T. Courtois,21,84,88,1393,Belgium,Atlético Madrid
49,C. Eriksen,21,84,88,2010,Denmark,Tottenham Hotspur
50,Pedro,25,84,88,1998,Spain,FC Barcelona
51,Hulk,26,84,86,2160,Brazil,Zenit St. Petersburg
52,Oscar,21,84,87,1972,Brazil,Chelsea
53,J. Boateng,24,84,86,1922,Germany,FC Bayern München
54,T. Kroos,23,84,88,2088,Germany,FC Bayern München
55,S. Khedira,26,84,86,2068,Germany,Real Madrid
56,Diego Costa,24,84,87,1983,Spain,Atlético Madrid
57,Javi Martinez,24,84,86,2045,Spain,FC Bayern München
58,C. Marchisio,27,84,88,2236,Italy,Juventus
59,S. Sirigu,26,84,85,1397,Italy,Paris Saint-Germain
60,H. Lloris,26,84,86,1428,France,Tottenham Hotspur
61,H. Lloris,26,84,86,1428,France,Tottenham Hotspur
62,G. Higuaín,25,84,86,1922,Argentina,Napoli
63,S. Nasri,26,84,87,2047,France,Manchester City
64,Dante,29,84,84,2013,Brazil,FC Bayern München
65,M. Gomez,27,84,84,1873,Germany,Fiorentina
66,K. Huntelaar,29,84,84,1908,Netherlands,FC Schalke 04
67,I. Akinfeev,27,84,85,1372,Russia,PFC CSKA Moscow
68,Diego López,31,84,84,1385,Spain,Real Madrid
69,Santi Cazorla,28,84,84,2014,Spain,Arsenal
70,Dani Alves,30,84,84,2237,Brazil,FC Barcelona
71,J. Mascherano,29,84,84,2055,Argentina,FC Barcelona
72,G. Chiellini,28,84,84,1899,Italy,Juventus
73,A. Barzagli,32,84,84,1805,Italy,Juventus
74,J. Toulalan,29,84,84,1976,France,AS Monaco
75,D. Drogba,35,84,84,2027,Ivory Coast,Galatasaray SK
76,A. Pirlo,34,84,84,2018,Italy,Juventus
77,Lucas,20,83,90,2054,Brazil,Paris Saint-Germain
78,J. Rodríguez,21,83,89,2089,Colombia,AS Monaco
79,De Gea,22,83,87,1398,Spain,Manchester United
80,I. Gündoğan,22,83,87,2172,Germany,Borussia Dortmund
81,M. Balotelli,22,83,90,1960,Italy,Milan
82,S. Jovetić,23,83,87,2053,Montenegro,Manchester City
83,M. Mandžukić,27,83,83,1988,Croatia,FC Bayern München
84,E. Džeko,27,83,83,1928,Bosnia Herzegovina,Manchester City
85,Hernanes,28,83,86,2224,Brazil,Inter
86,Willian,24,83,84,1923,Brazil,Chelsea
87,M. Pjanić,23,83,87,2166,Bosnia Herzegovina,Roma
88,Marcelo,25,83,85,2181,Brazil,Real Madrid
89,L. Piszczek,28,83,83,2147,Poland,Borussia Dortmund
90,A. Candreva,26,83,85,2177,Italy,Lazio
91,M. Hamšik,25,83,86,2119,Slovakia,Napoli
92,D. Sturridge,23,83,86,1953,England,Liverpool
93,B. Matuidi,26,83,86,2182,France,Paris Saint-Germain
94,J. Błaszczykowski,27,83,83,2148,Poland,Borussia Dortmund
95,João Moutinho,26,83,86,2259,Portugal,AS Monaco
96,E. Lavezzi,28,83,83,2038,Argentina,Paris Saint-Germain
97,J. Farfán,28,83,83,2075,Peru,FC Schalke 04
98,A. Song,25,83,85,2060,Cameroon,FC Barcelona
99,Jesús Navas,27,83,83,1960,Spain,Manchester City
100,Negredo,27,83,83,1983,Spain,Manchester City
101,Kaká,31,83,83,1886,Brazil,Milan
102,Diego,28,83,83,2054,Brazil,Atlético Madrid
103,Alex,31,83,83,1892,Brazil,Paris Saint-Germain
104,Felipe Melo,30,83,83,2265,Brazil,Galatasaray SK
105,Pepe,30,83,83,1868,Portugal,Real Madrid
106,David Villa,31,83,83,2029,Spain,Atlético Madrid
107,Victor Valdés,31,83,83,1436,Spain,FC Barcelona
108,T. Motta,30,83,83,2094,Italy,Paris Saint-Germain
109,A. Cole,32,83,83,2079,England,Chelsea
110,Danny,29,83,83,1981,Portugal,Zenit St. Petersburg
111,S. Gerrard,33,83,83,2219,England,Liverpool
112,J. Terry,32,83,83,1733,England,Chelsea
113,R. Weidenfeller,32,83,83,1361,Germany,Borussia Dortmund
114,D. Alaba,21,82,88,2221,Austria,FC Bayern München
115,A. Griezmann,22,82,88,2015,France,Real Sociedad
116,Koke,21,82,85,2067,Spain,Atlético Madrid
117,J. Cuadrado,25,82,83,2137,Colombia,Fiorentina
118,H. Mkhitaryan,24,82,85,2126,Armenia,Borussia Dortmund
119,B. Leno,21,82,85,1408,Germany,Bayer 04 Leverkusen
120,M. ter Stegen,21,82,88,1409,Germany,Borussia Mönchengladbach
121,J. Wilshere,21,82,86,2158,England,Arsenal
122,J. Wilshere,21,82,86,2158,England,Arsenal
123,Jordi Alba,24,82,85,2198,Spain,FC Barcelona
124,S. Doumbia,25,82,84,2048,Ivory Coast,PFC CSKA Moscow
125,A. Ramsey,22,82,85,2134,Wales,Arsenal
126,A. Sánchez,24,82,88,2055,Chile,FC Barcelona
127,N. Gaitán,25,82,85,2013,Argentina,SL Benfica
128,N. Subotić,24,82,84,1907,Serbia,Borussia Dortmund
129,F. Muslera,27,82,86,1498,Uruguay,Galatasaray SK
130,D. Godín,27,82,84,1889,Uruguay,Atlético Madrid
131,David Luiz,26,82,83,2096,Brazil,Chelsea
132,J. Hernández,25,82,83,1946,Mexico,Manchester United
133,D. Mertens,26,82,82,2009,Belgium,Napoli
134,S. Mignolet,25,82,83,1403,Belgium,Liverpool
135,Sokratis,25,82,84,1970,Greece,Borussia Dortmund
136,J. Vertonghen,26,82,84,2098,Belgium,Tottenham Hotspur
137,A. Begović,26,82,84,1371,Bosnia Herzegovina,Stoke City
138,Leandro Castán,26,82,85,1721,Brazil,Roma
139,N. Şahin,24,82,84,2060,Turkey,Borussia Dortmund
140,Gervinho,26,82,83,1977,Ivory Coast,Roma
141,E. Garay,26,82,85,1988,Argentina,SL Benfica
142,C. Vela,24,82,87,1965,Mexico,Real Sociedad
143,S. Ruffier,26,82,84,1408,France,AS Saint-Étienne
144,L. Koscielny,27,82,82,1861,France,Arsenal
145,Filipe Luís,27,82,82,2130,Brazil,Atlético Madrid
146,L. Diarra,28,82,83,2034,France,Lokomotiv Moscow
147,S. Mandanda,28,82,86,1360,France,Olympique de Marseille
148,L. Baines,28,82,82,2234,England,Everton
149,S. Handanovič,28,82,82,1420,Slovenia,Inter
150,G. Rossi,26,82,84,1966,Italy,Fiorentina
151,Llorente,28,82,82,1812,Spain,Juventus
152,Borja Valero,28,82,84,2142,Spain,Fiorentina
153,R. Palacio,31,82,82,2105,Argentina,Inter
154,J. Hart,26,82,83,1349,England,Manchester City
155,Soldado,28,82,82,2024,Spain,Tottenham Hotspur
156,P. Zabaleta,28,82,82,2098,Argentina,Manchester City
157,Nani,26,82,82,1960,Portugal,Manchester United
158,Fernandinho,28,82,83,2189,Brazil,Manchester City
159,Jefferson,30,82,82,1351,Brazil,Botafogo
160,R. Adler,28,82,85,1354,Germany,Hamburger SV
161,P. Mertesacker,28,82,82,1610,Germany,Arsenal
162,Fernando Torres,29,82,82,1976,Spain,Chelsea
163,Júlio César,33,82,82,1421,Brazil,Toronto FC
164,R. van der Vaart,30,82,82,1966,Netherlands,Hamburger SV
165,D. Berbatov,32,82,82,1945,Bulgaria,AS Monaco
166,José Reina,30,82,83,1398,Spain,Napoli
167,M. Klose,35,82,82,1853,Germany,Lazio
168,S. Eto'o,32,82,82,2058,Cameroon,Chelsea
169,G. Buffon,35,82,82,1383,Italy,Juventus
172,R. Varane,20,81,88,1829,France,Real Madrid
173,A. Abdennour,23,81,85,1948,Tunisia,AS Monaco
174,J. Martínez,26,81,85,2025,Colombia,FC Porto
175,P. Pogba,20,81,90,2218,France,Juventus
176,K. De Bruyne,22,81,86,2037,Belgium,VfL Wolfsburg
177,H. Badstuber,24,81,84,1896,Germany,FC Bayern München
178,N. Matić,24,81,85,2143,Serbia,Chelsea
179,Sandro,24,81,84,2071,Brazil,Tottenham Hotspur
180,W. Bony,24,81,84,1940,Ivory Coast,Swansea City
181,K. Strootman,23,81,86,2142,Netherlands,Roma
182,Thiago,22,81,85,2092,Spain,FC Bayern München
183,Thiago,22,81,85,2092,Spain,FC Bayern München
184,S. Kagawa,24,81,85,1921,Japan,Manchester United
185,Coutinho,21,81,86,1917,Brazil,Liverpool
186,Paulinho,24,81,85,2174,Brazil,Tottenham Hotspur
188,Luiz Gustavo,25,81,83,2064,Brazil,VfL Wolfsburg
189,José Callejón,26,81,84,1944,Spain,Napoli
190,Ramires,26,81,82,2185,Brazil,Chelsea
191,S. Feghouli,23,81,87,1959,Algeria,Valencia CF
192,C. Benteke,22,81,87,1903,Belgium,Aston Villa
193,M. Sakho,23,81,85,1743,France,Liverpool
194,Éverton Ribeiro,24,81,83,2003,Brazil,Cruzeiro
195,B. Höwedes,25,81,84,1877,Germany,FC Schalke 04
196,E. Banega,25,81,84,2061,Argentina,Newell's Old Boys
197,A. Cerci,25,81,84,2097,Italy,Torino
198,B. Ivanović,29,81,81,1960,Serbia,Chelsea
199,Rui Patrício,25,81,84,1425,Portugal,Sporting CP
200,S. Sam,25,81,83,2024,Germany,Bayer 04 Leverkusen
201,S. Bender,24,81,84,1990,Germany,Borussia Dortmund
202,L. Bender,24,81,84,2061,Germany,Bayer 04 Leverkusen
203,Jonas,29,81,81,1906,Brazil,Valencia CF
204,C. Bravo,30,81,81,1474,Chile,Real Sociedad
205,K. Mirallas,25,81,83,2070,Belgium,Everton
206,I. Rakitić,25,81,84,2091,Croatia,Sevilla FC
207,Miranda,28,81,82,1862,Brazil,Atlético Madrid
208,Y. Cabaye,27,81,82,2181,France,Paris Saint-Germain
209,A. Valencia,27,81,81,2034,Ecuador,Manchester United
210,M. Škrtel,28,81,81,1695,Slovakia,Liverpool
211,Diego Alves,28,81,85,1486,Brazil,Valencia CF
212,T. Walcott,24,81,85,1965,England,Arsenal
213,M. Boussoufa,28,81,81,2051,Morocco,Lokomotiv Moscow
214,C. Dempsey,30,81,81,2040,United States,Seattle Sounders FC
215,D. Agger,28,81,81,1969,Denmark,Liverpool
216,R. Mavuba,29,81,81,2016,France,LOSC Lille
217,Gabi,29,81,81,2132,Spain,Atlético Madrid
218,F. Marchetti,30,81,81,1434,Italy,Lazio
220,S. Kießling,29,81,81,1955,Germany,Bayer 04 Leverkusen
221,Fábio,32,81,81,1367,Brazil,Cruzeiro
222,H. Campagnaro,33,81,81,1877,Argentina,Inter
223,Ronaldinho,33,81,81,1919,Brazil,Atlético Mineiro
224,T. Howard,34,81,81,1386,United States,Everton
225,T. Rosický,32,81,81,2035,Czech Republic,Arsenal
226,A. Cassano,30,81,81,1925,Italy,Parma
227,F. Totti,36,81,81,1941,Italy,Roma
229,Bernard,20,80,86,1912,Brazil,Shakhtar Donetsk
230,Iñigo Martínez,22,80,86,1899,Spain,Real Sociedad
231,J. Draxler,19,80,86,1964,Germany,FC Schalke 04
232,Roberto Firmino,21,80,85,1954,Brazil,TSG 1899 Hoffenheim
233,D. Tadić,24,80,83,1996,Serbia,FC Twente
234,X. Shaqiri,21,80,86,2124,Switzerland,FC Bayern München
235,A. Schürrle,22,80,85,2063,Germany,Chelsea
236,R. Lukaku,20,80,86,1859,Belgium,Everton
237,C. Immobile,23,80,86,1890,Italy,Torino
238,S. El Shaarawy,20,80,88,1914,Italy,Milan
239,Illarramendi,23,80,85,2039,Spain,Real Madrid
240,E. Mangala,22,80,86,1896,France,FC Porto
241,K. Trapp,22,80,84,1358,Germany,Eintracht Frankfurt
242,A. Costa,28,80,83,2151,Argentina,Spartak Moscow
243,P. Aubameyang,24,80,83,2056,Gabon,Borussia Dortmund
244,P. Aubameyang,24,80,83,2056,Gabon,Borussia Dortmund
245,A. Dzagoev,23,80,84,2009,Russia,PFC CSKA Moscow
246,K. Asamoah,24,80,85,2156,Ghana,Juventus
247,W. Szczęsny,23,80,83,1354,Poland,Arsenal
248,J. Biabiany,25,80,84,1906,France,Parma
249,Bruno,29,80,80,1986,Spain,Villarreal CF
250,Roberto,27,80,83,1419,Spain,Olympiacos CFP
251,A. Rami,27,80,84,1825,France,Milan
252,D. N'Doye,28,80,80,1959,Senegal,Lokomotiv Moscow
253,O. Cardozo,30,80,80,1815,Paraguay,SL Benfica
254,L. Rémy,26,80,81,1945,France,Newcastle United
255,R. Nainggolan,25,80,82,2220,Belgium,Roma
257,A. Witsel,24,80,85,2159,Belgium,Zenit St. Petersburg
258,M. Valbuena,28,80,80,1933,France,Olympique de Marseille
259,D. Ba,28,80,80,1984,Senegal,Chelsea
260,M. Fellaini,25,80,82,2097,Belgium,Manchester United
261,Lucas Leiva,26,80,82,1947,Brazil,Liverpool
262,K. Boateng,26,80,84,2225,Ghana,FC Schalke 04
263,Naldo,30,80,80,1923,Brazil,VfL Wolfsburg
264,C. Rodríguez,27,80,81,2101,Uruguay,Atlético Madrid
265,G. dos Santos,24,80,83,1922,Mexico,Villarreal CF
266,E. Lamela,21,80,85,1951,Argentina,Tottenham Hotspur
267,F. Guarín,27,80,84,2244,Colombia,Inter
268,G. Castro,26,80,82,2138,Germany,Bayer 04 Leverkusen
269,G. Paletta,27,80,83,1740,Italy,Parma
270,Michu,27,80,80,1998,Spain,Swansea City
271,G. Cahill,27,80,80,1856,England,Chelsea
272,B. Sagna,30,80,80,2039,France,Arsenal
273,V. Ibišević,28,80,80,1848,Bosnia Herzegovina,VfB Stuttgart
274,M. Dembélé,25,80,82,2154,Belgium,Tottenham Hotspur
275,R. Montolivo,28,80,84,2101,Italy,Milan
276,M. Debuchy,27,80,80,2111,France,Newcastle United
277,Raúl Albiol,27,80,82,1784,Spain,Napoli
278,G. Clichy,27,80,80,1960,France,Manchester City
279,Luisão,32,80,80,1765,Brazil,SL Benfica
281,I. Denisov,29,80,80,2111,Russia,Dinamo Moscow
282,Xabi Prieto,29,80,80,1936,Spain,Real Sociedad
283,Raffael,28,80,80,2034,Brazil,Borussia Mönchengladbach
284,D. Srna,31,80,80,2208,Croatia,Shakhtar Donetsk
285,Helton,35,80,80,1487,Brazil,FC Porto
286,A. D'Alessandro,32,80,80,1996,Argentina,Internacional
287,J. Milner,27,80,80,2160,England,Manchester City
288,M. Vorm,29,80,81,1447,Netherlands,Swansea City
289,Alex,35,80,80,1909,Brazil,Coritiba
290,Maicon,31,80,80,2202,Brazil,Roma
291,A. Di Natale,35,80,80,2001,Italy,Udinese
292,C. Carrasso,31,80,80,1314,France,FC Girondins de Bordeaux
293,D. Benaglio,29,80,80,1379,Switzerland,VfL Wolfsburg
294,P. Jagielka,30,80,80,1964,England,Everton
295,E. Adebayor,29,80,80,1884,Togo,Tottenham Hotspur
296,P. Evra,32,80,80,2058,France,Manchester United
297,J. Defoe,30,80,80,1900,England,Toronto FC
298,S. Pienaar,31,80,80,2047,South Africa,Everton
299,F. Coloccini,31,80,80,1938,Argentina,Newcastle United
300,Mikel Arteta,31,80,80,2134,Spain,Arsenal
301,W. Samuel,35,80,80,1630,Argentina,Inter
302,M. Carrick,31,80,80,2069,England,Manchester United
303,Quaresma,29,80,80,1958,Portugal,FC Porto
304,G. Barry,32,80,80,2087,England,Everton
305,G. Barry,32,80,80,2087,England,Everton
306,F. Lampard,35,80,80,2141,England,Chelsea
307,M. De Sanctis,36,80,80,1323,Italy,Roma
308,Tiago,32,80,80,2053,Portugal,Atlético Madrid
309,João Pereira,29,79,79,2057,Portugal,Valencia CF
310,R. Sterling,18,79,85,1896,England,Liverpool
311,Juan Jesus,22,79,84,1793,Brazil,Inter
312,K. Volland,20,79,84,2058,Germany,TSG 1899 Hoffenheim
313,Cristian Tello,21,79,83,1835,Spain,FC Barcelona
314,M. Verratti,20,79,86,2110,Italy,Paris Saint-Germain
315,Rodrigo,22,79,85,1946,Spain,SL Benfica
316,L. Insigne,22,79,84,1870,Italy,Napoli
317,E. Pérez,27,79,81,2212,Argentina,SL Benfica
318,D. Lovren,23,79,82,1692,Croatia,Southampton
319,P. Jones,21,79,84,1893,England,Manchester United
320,R. Rodriguez,20,79,84,2096,Switzerland,VfL Wolfsburg
321,M. Gonalons,24,79,82,2051,France,Olympique Lyonnais
322,M. Baša,30,79,79,1770,Montenegro,LOSC Lille
323,Dedé,24,79,82,1863,Brazil,Cruzeiro
324,N. Otamendi,25,79,83,1775,Argentina,Atlético Mineiro
325,Ander Herrera,23,79,84,1973,Spain,Athletic Club de Bilbao
326,J. Pastore,24,79,85,1985,Argentina,Paris Saint-Germain
327,Alex Sandro,22,79,84,2109,Brazil,FC Porto
328,E. Salvio,22,79,84,2017,Argentina,SL Benfica
329,Douglas Costa,22,79,84,2044,Brazil,Shakhtar Donetsk
330,Guaita,26,79,84,1376,Spain,Valencia CF
331,G. Bonaventura,23,79,85,2111,Italy,Atalanta
332,N. Nkoulou,23,79,85,1905,Cameroon,Olympique de Marseille
333,S. Lulić,27,79,83,2141,Bosnia Herzegovina,Lazio
334,Réver,28,79,82,1872,Brazil,Atlético Mineiro
335,M. Diouf,25,79,81,1842,Senegal,Hannover 96
336,Victor,30,79,80,1355,Brazil,Atlético Mineiro
337,K. Honda,27,79,84,2083,Japan,Milan
338,S. Ulreich,24,79,82,1306,Germany,VfB Stuttgart
339,O. Toprak,23,79,82,1823,Turkey,Bayer 04 Leverkusen
340,Azpilicueta,23,79,82,2049,Spain,Chelsea
341,L. Bonucci,26,79,84,1862,Italy,Juventus
342,Fernando,25,79,83,2040,Brazil,FC Porto
343,A. Chedjou,28,79,81,1972,Cameroon,Galatasaray SK
344,V. Stocker,24,79,83,2088,Switzerland,FC Basel 1893
345,M. Cáceres,26,79,86,1974,Uruguay,Juventus
346,V. Ćorluka,27,79,80,1851,Croatia,Lokomotiv Moscow
347,A. Lallana,25,79,83,2012,England,Southampton
348,S. Kjær,24,79,81,1754,Denmark,LOSC Lille
349,A. Taarabt,24,79,86,1957,Morocco,Milan
350,P. Osvaldo,27,79,79,1898,Italy,Juventus
351,O. Giroud,26,79,80,1904,France,Arsenal
352,Y. Sommer,24,79,84,1437,Switzerland,FC Basel 1893
353,Beñat,26,79,84,2098,Spain,Athletic Club de Bilbao
354,A. Ramos,27,79,79,1950,Colombia,Hertha BSC
355,Pedro León,26,79,81,1932,Spain,Getafe CF
356,M. Fernández,27,79,80,1988,Chile,Fiorentina
357,G. Castro,28,79,79,1927,Uruguay,Real Sociedad
358,D. Astori,26,79,82,1661,Italy,Cagliari
359,Mikel Gonzalez,27,79,80,1796,Spain,Real Sociedad
360,Fábio Coentrão,25,79,86,2113,Portugal,Real Madrid
361,Raúl García,26,79,82,2101,Spain,Atlético Madrid
362,José Enrique,27,79,80,2070,Spain,Liverpool
363,T. Krul,25,79,84,1357,Netherlands,Newcastle United
364,J. Evans,25,79,82,1698,Northern Ireland,Manchester United
365,S. Kaya,22,79,84,1770,Turkey,Galatasaray SK
366,S. Kaya,22,79,84,1770,Turkey,Galatasaray SK
367,R. Shirokov,31,79,79,2106,Russia,FC Krasnodar
368,R. Elm,25,79,82,2155,Sweden,PFC CSKA Moscow
369,J. Mikel,26,79,80,1967,Nigeria,Chelsea
370,A. Williams,28,79,79,1743,Wales,Swansea City
371,J. Ruddy,26,79,81,1343,England,Norwich City
372,A. Consigli,26,79,83,1320,Italy,Atalanta
373,Y. Kaboul,27,79,79,1816,France,Tottenham Hotspur
374,V. Behrami,28,79,79,2143,Switzerland,Napoli
375,Javi García,26,79,80,2081,Spain,Manchester City
376,H. Ben Arfa,26,79,80,2006,France,Newcastle United
377,Fred,29,79,79,1837,Brazil,Fluminense
378,Jesús Gámez,28,79,79,1946,Spain,Málaga CF
379,L. Perrin,27,79,80,2007,France,AS Saint-Étienne
380,G. Inler,29,79,79,2127,Switzerland,Napoli
381,T. Vermaelen,27,79,79,2001,Belgium,Arsenal
382,M. Flamini,29,79,79,2073,France,Arsenal
383,R. Eremenko,26,79,81,2000,Finland,Rubin Kazan
384,Y. Zhirkov,29,79,79,2097,Russia,Dinamo Moscow
385,Y. Gourcuff,26,79,83,2038,France,Olympique Lyonnais
386,A. Gignac,27,79,79,1949,France,Olympique de Marseille
387,A. Young,27,79,79,1961,England,Manchester United
388,A. Lennon,26,79,80,1847,England,Tottenham Hotspur
389,I. Olić,33,79,79,1961,Croatia,VfL Wolfsburg
390,A. Samedov,28,79,79,1997,Russia,Lokomotiv Moscow
391,Juanfran,28,79,79,2086,Spain,Atlético Madrid
393,G. Denis,31,79,79,1854,Argentina,Atalanta
394,G. Rodríguez,29,79,79,1886,Argentina,Fiorentina
395,D. Milito,34,79,79,1872,Argentina,Inter
396,Jô,26,79,82,1855,Brazil,Atlético Mineiro
397,A. Mirante,29,79,79,1338,Italy,Parma
398,V. Enyeama,30,79,79,1453,Nigeria,LOSC Lille
399,W. Caballero,31,79,79,1398,Argentina,Málaga CF
400,J. Lescott,30,79,79,1765,England,Manchester City
401,Diego Tardelli,28,79,79,1975,Brazil,Atlético Mineiro
402,G. Pandev,29,79,79,1984,FYR Macedonia,Napoli
403,M. Demichelis,32,79,79,1631,Argentina,Manchester City
404,S. İnan,28,79,82,2143,Turkey,Galatasaray SK
405,M. Dawson,29,79,79,1558,England,Tottenham Hotspur
406,K. Touré,32,79,79,1897,Ivory Coast,Liverpool
407,Rubén Castro,32,79,79,1869,Spain,Real Betis
408,S. Lichtsteiner,29,79,79,2133,Switzerland,Juventus
409,M. Vučinić,29,79,79,1969,Montenegro,Juventus
410,Aduriz,32,79,79,1914,Spain,Athletic Club de Bilbao
412,A. Aquilani,28,79,79,2096,Italy,Fiorentina
413,S. Mauri,33,79,79,2127,Italy,Lazio
414,Joaquín,31,79,79,1902,Spain,Fiorentina
415,C. Pizarro,34,79,79,1902,Peru,FC Bayern München
416,J. Riquelme,35,79,79,1885,Argentina,Boca Juniors
417,L. Donovan,31,79,79,1984,United States,LA Galaxy
418,R. Ferdinand,34,79,79,1705,England,Manchester United
419,T. Henry,35,79,79,1875,France,New York Red Bulls
420,M. Stranzl,33,79,79,1723,Austria,Borussia Mönchengladbach
421,R. Keane,32,79,79,1964,Republic of Ireland,LA Galaxy
422,J. Quintero,20,78,86,1819,Colombia,FC Porto
424,Ederson,24,78,81,1833,Brazil,Atlético Paranaense
425,Marquinhos,19,78,89,1755,Brazil,Paris Saint-Germain
426,C. Bacca,26,78,78,1852,Colombia,Sevilla FC
427,C. Bacca,26,78,78,1852,Colombia,Sevilla FC
428,William Carvalho,21,78,85,2013,Portugal,Sporting CP
429,E. Vargas,23,78,83,1931,Chile,Valencia CF
430,S. Savić,22,78,83,1735,Montenegro,Fiorentina
431,G. Ramirez,22,78,82,1958,Uruguay,Southampton
432,J. Cillessen,24,78,81,1386,Netherlands,Ajax
433,L. Traoré,23,78,84,1748,Ivory Coast,Everton
434,A. Oxlade-Chamberlain,19,78,86,1936,England,Arsenal
435,P. Wollscheid,24,78,81,1569,Germany,Bayer 04 Leverkusen
436,O. Baumann,23,78,82,1322,Germany,SC Freiburg
437,R. Cabella,23,78,83,2025,France,Montpellier HSC
