,Name,Age,Overall,Potential,Special,Nationality,Club
0,L. Messi,30,94,94,2161,Argentina,FC Barcelona
1,Cristiano Ronaldo,32,94,94,2228,Portugal,Real Madrid
2,Neymar,25,92,93,2105,Brazil,Paris Saint-Germain
3,L. Suárez,30,92,92,2321,Uruguay,FC Barcelona
4,M. Neuer,31,92,92,1487,Germany,FC Bayern München
5,De Gea,26,91,93,1465,Spain,Manchester United
6,K. De Bruyne,26,91,92,2234,Belgium,Manchester City
7,R. Lewandowski,28,91,91,2151,Poland,FC Bayern München
8,E. Hazard,26,91,91,2122,Belgium,Chelsea
9,T. Kroos,27,90,90,2189,Germany,Real Madrid
10,M. Hummels,28,90,90,2063,Germany,FC Bayern München
11,G. Higuaín,29,90,90,1965,Argentina,Juventus
12,Sergio Ramos,31,90,90,2154,Spain,Real Madrid
13,P. Dybala,23,89,94,2086,Argentina,Juventus
14,J. Oblak,24,89,93,1297,Slovenia,Atlético Madrid
15,T. Courtois,25,89,92,1298,Belgium,Chelsea
16,L. Modrić,31,89,89,2231,Croatia,Real Madrid
17,David Silva,31,89,89,2013,Spain,Manchester City
18,S. Agüero,29,89,89,2087,Argentina,Manchester City
19,G. Chiellini,32,89,89,1867,Italy,Juventus
20,G. Buffon,39,89,89,1335,Italy,Juventus
21,N. Kanté,26,88,90,2166,France,Chelsea
22,H. Kane,23,88,91,2120,England,Tottenham Hotspur
23,P. Pogba,24,88,92,2262,France,Manchester United
24,A. Griezmann,26,88,89,2153,France,Atlético Madrid
25,C. Eriksen,25,88,91,2091,Denmark,Tottenham Hotspur
26,Thiago,26,88,89,2189,Spain,FC Bayern München
27,A. Sánchez,28,88,88,2194,Chile,Manchester United
28,D. Godín,31,88,88,1937,Uruguay,Atlético Madrid
29,E. Cavani,30,88,88,2111,Uruguay,Paris Saint-Germain
30,G. Bale,27,88,88,2260,Wales,Real Madrid
31,H. Lloris,30,88,88,1315,France,Tottenham Hotspur
32,S. Handanovič,32,88,88,1254,Slovenia,Inter
33,M. Salah,25,87,90,2136,Egypt,Liverpool
34,M. Icardi,24,87,91,1916,Argentina,Inter
35,M. Verratti,24,87,90,2156,Italy,Paris Saint-Germain
