,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
0,158023,L. Messi,28,https://cdn.sofifa.org/players/4/16/158023.png,Argentina,https://cdn.sofifa.org/flags/52.png,94,94,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€101M,€550K,2136
1,20801,Cristiano Ronaldo,30,https://cdn.sofifa.org/players/4/16/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,93,93,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€85.5M,€475K,2214
2,190871,Neymar,23,https://cdn.sofifa.org/players/4/16/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,90,94,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€89.5M,€270K,2058
3,176580,L. Suárez,28,https://cdn.sofifa.org/players/4/16/176580.png,Uruguay,https://cdn.sofifa.org/flags/60.png,90,90,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€69M,€300K,2280
4,167495,M. Neuer,29,https://cdn.sofifa.org/players/4/16/167495.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€58M,€250K,1410
5,41236,Z. Ibrahimović,33,https://cdn.sofifa.org/players/4/16/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,89,89,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€40.5M,€220K,2116
6,9014,A. Robben,31,https://cdn.sofifa.org/players/4/16/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,89,89,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€50M,€250K,2108
7,188545,R. Lewandowski,26,https://cdn.sofifa.org/players/4/16/188545.png,Poland,https://cdn.sofifa.org/flags/37.png,88,88,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€57M,€240K,2096
8,183277,E. Hazard,24,https://cdn.sofifa.org/players/4/16/183277.png,Belgium,https://cdn.sofifa.org/flags/7.png,88,90,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€64M,€210K,2084
9,176635,M. Özil,26,https://cdn.sofifa.org/players/4/16/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,88,89,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€61M,€240K,1940
10,164240,Thiago Silva,30,https://cdn.sofifa.org/players/4/16/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€38M,€200K,2144
11,153079,S. Agüero,27,https://cdn.sofifa.org/players/4/16/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,88,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€55M,€240K,2069
12,41,Iniesta,31,https://cdn.sofifa.org/players/4/16/41.png,Spain,https://cdn.sofifa.org/flags/45.png,88,88,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€43M,€220K,2104
13,198710,J. Rodríguez,23,https://cdn.sofifa.org/players/4/16/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,87,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€59.5M,€210K,2155
14,193080,De Gea,24,https://cdn.sofifa.org/players/4/16/193080.png,Spain,https://cdn.sofifa.org/flags/45.png,87,90,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€49M,€180K,1364
15,183907,J. Boateng,26,https://cdn.sofifa.org/players/4/16/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,87,87,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€38.5M,€220K,1999
16,182521,T. Kroos,25,https://cdn.sofifa.org/players/4/16/182521.png,Germany,https://cdn.sofifa.org/flags/21.png,87,89,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€53M,€200K,2128
17,177003,L. Modrić,29,https://cdn.sofifa.org/players/4/16/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,87,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€41.5M,€190K,2231
18,173731,G. Bale,25,https://cdn.sofifa.org/players/4/16/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,87,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€53M,€210K,2259
19,155862,Sergio Ramos,29,https://cdn.sofifa.org/players/4/16/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€34M,€190K,2147
20,121939,P. Lahm,31,https://cdn.sofifa.org/players/4/16/121939.png,Germany,https://cdn.sofifa.org/flags/21.png,87,87,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€28.5M,€190K,2159
21,195864,P. Pogba,22,https://cdn.sofifa.org/players/4/16/195864.png,France,https://cdn.sofifa.org/flags/18.png,86,91,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€52M,€180K,2263
22,192985,K. De Bruyne,24,https://cdn.sofifa.org/players/4/16/192985.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,89,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€49M,€180K,2122
23,192119,T. Courtois,23,https://cdn.sofifa.org/players/4/16/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,90,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€44M,€180K,1277
24,189596,T. Müller,25,https://cdn.sofifa.org/players/4/16/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,86,87,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€46M,€210K,2125
25,189511,Sergio Busquets,26,https://cdn.sofifa.org/players/4/16/189511.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€33.5M,€220K,2030
26,188350,M. Reus,26,https://cdn.sofifa.org/players/4/16/188350.png,Germany,https://cdn.sofifa.org/flags/21.png,86,87,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€44.5M,€210K,2156
27,184941,A. Sánchez,26,https://cdn.sofifa.org/players/4/16/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,86,87,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€45.5M,€230K,2140
28,183898,A. Di María,27,https://cdn.sofifa.org/players/4/16/183898.png,Argentina,https://cdn.sofifa.org/flags/52.png,86,86,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€40.5M,€230K,2154
29,182493,D. Godín,29,https://cdn.sofifa.org/players/4/16/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,86,86,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€29.5M,€180K,1927
30,178603,M. Hummels,26,https://cdn.sofifa.org/players/4/16/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,86,87,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€37.5M,€220K,2038
31,168542,David Silva,29,https://cdn.sofifa.org/players/4/16/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€36M,€190K,1990
32,167664,G. Higuaín,27,https://cdn.sofifa.org/players/4/16/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,86,86,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€41M,€190K,1916
33,165153,K. Benzema,27,https://cdn.sofifa.org/players/4/16/165153.png,France,https://cdn.sofifa.org/flags/18.png,86,86,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€41M,€230K,1959
34,162895,Cesc Fàbregas,28,https://cdn.sofifa.org/players/4/16/162895.png,Spain,https://cdn.sofifa.org/flags/45.png,86,86,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€37.5M,€220K,2139
35,156616,F. Ribéry,32,https://cdn.sofifa.org/players/4/16/156616.png,France,https://cdn.sofifa.org/flags/18.png,86,86,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€29.5M,€190K,1996
